"","X","Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference..cm.","Depth..cm.","Diameter..cm.","Height..cm.","Length..cm.","Weight..kg.","Width..cm.","Seat.Height..cm.","Duration..sec..","X0","artist_age","artist_dead","artist_age_acq"
"9556","9555","In-text plate (folio 10) from Poems","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1992.0","Lithograph from an illustrated book with eight lithographs","composition (irreg.): 16 1/4 × 13 3/16"" (41.3 × 33.5 cm); page: 18 7/8 × 14 1/8"" (48 × 35.9 cm)","Gift of Tyler Graphics in memory of Joan Mitchell","37.1993.7","Illustrated Book","Prints & Illustrated Books","1993-01-18","Y","10620","http://www.moma.org/collection/works/10620","",NA,NA,NA,41.3,NA,NA,33.5,NA,"","American",67,1,-1
"9557","9556","In-text plate (folio 11) from Poems","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1992.0","Lithograph from an illustrated book with eight lithographs","composition (irreg.): 16 5/8 × 13"" (42.2 × 33 cm); page: 18 7/8 × 14 1/8"" (48 × 35.9 cm)","Gift of Tyler Graphics in memory of Joan Mitchell","37.1993.8","Illustrated Book","Prints & Illustrated Books","1993-01-18","Y","10621","http://www.moma.org/collection/works/10621","",NA,NA,NA,42.2,NA,NA,33,NA,"","American",67,1,-1
"9698","9697","Couple of Laundress' Aprons","Marcel Duchamp","1634","American, born France. 1887–1968","American",1887,"1968.0","Male","1959.0","Two multiples of cloth and fur","overall (male, irreg.): 9 x 6 15/16 x 1 1/4"" (22.8 x 17.7 x 3.2 cm); overall (female, irreg.): 9 3/4 x 7 13/16 x 7/8"" (24.8 x 19.8 x 2.3 cm)","Gift of Arthur A. Goldberg","51.1977","Illustrated Book","Prints & Illustrated Books","1977-02-10","Y","10768","http://www.moma.org/collection/works/10768","http://www.moma.org/media/W1siZiIsIjIyNjY2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5aed0c44e1d45191",NA,3.2,NA,22.8,NA,NA,17.7,NA,"","American",72,1,-9
"10100","10099","Plate (folio 34 recto) from In Memory of My Feelings","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1967.0","One from an illustrated book with 46 lithographs","composition (irreg.): 11 7/16 x 8 13/16"" (29 x 22.4cm); page: 11 15/16 x 9"" (30.4 x 22.8 cm)","Gift of The Museum of Modern Art Department of Publications","92.1968.13","Illustrated Book","Prints & Illustrated Books","1968-02-05","Y","11173","http://www.moma.org/collection/works/11173","http://www.moma.org/media/W1siZiIsIjMwMzMyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c65a2e37fbf85514",NA,NA,NA,29,NA,NA,22.4,NA,"","American",42,0,24
"10105","10104","Plate (folio 44 recto) from In Memory of My Feelings","Barnett Newman","4285","American, 1905–1970","American",1905,"1970.0","Male","1967.0","One from an illustrated book with 46 lithographs","composition (irreg.): 11 1/2 x 8 3/4"" (29.2 x 22.3cm); page: 11 15/16 x 9"" (30.4 x 22.8 cm)","Gift of The Museum of Modern Art Department of Publications","92.1968.18","Illustrated Book","Prints & Illustrated Books","1968-02-05","Y","11178","http://www.moma.org/collection/works/11178","http://www.moma.org/media/W1siZiIsIjMwMzMzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=589e15e6fad7933d",NA,NA,NA,29.2,NA,NA,22.3,NA,"","American",62,0,2
"10122","10121","In-text plate (folios 79 verso and 80 recto) from In Memory of My Feelings","Grace Hartigan","2520","American, 1922–2008","American",1922,"2008.0","Female","1967.0","One from an illustrated book with 46 lithographs","composition (irreg.): 11 15/16 x 17 3/8"" (30.4 x 44.2cm); page (two-page spread): 11 15/16 x 17 15/16"" (30.4 x 45.6 cm)","Gift of The Museum of Modern Art Department of Publications","92.1968.33","Illustrated Book","Prints & Illustrated Books","1968-02-05","Y","11195","http://www.moma.org/collection/works/11195","http://www.moma.org/media/W1siZiIsIjMwMzM0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b65d2b2c91e953de",NA,NA,NA,30.4,NA,NA,44.2,NA,"","American",45,0,40
"10126","10125","In-text plate (folio 88 recto) from In Memory of My Feelings","Helen Frankenthaler","1974","American, 1928–2011","American",1928,"2011.0","Female","1967.0","One from an illustrated book with 46 lithographs","composition (irreg.): 11 15/16 x 9"" (30.4 x 22.8 cm); page: 11 15/16 x 9"" (30.4 x 22.8 cm)","Gift of The Museum of Modern Art Department of Publications","92.1968.37","Illustrated Book","Prints & Illustrated Books","1968-02-05","Y","11199","http://www.moma.org/collection/works/11199","http://www.moma.org/media/W1siZiIsIjMwMzM1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d1f5fae43a8dac8c",NA,NA,NA,30.4,NA,NA,22.8,NA,"","American",39,0,43
"10332","10331","Cover from Salute","Grace Hartigan","2520","American, 1922–2008","American",1922,"2008.0","Female","1960.0","Screenprint from an illustrated book with five screenprints","composition (irreg.): 11 13/16 × 13 7/8"" (30 × 35.2 cm); page: 17 5/16 × 14 1/8"" (44 × 35.8 cm)","Gift of Richard Miller","128.1964.1","Illustrated Book","Prints & Illustrated Books","1964-02-11","Y","11410","http://www.moma.org/collection/works/11410","http://www.moma.org/media/W1siZiIsIjE4OTY0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6b109e7796e45cf4",NA,NA,NA,30,NA,NA,35.2,NA,"","American",38,0,44
"10333","10332","Salute","Grace Hartigan","2520","American, 1922–2008","American",1922,"2008.0","Female","1960.0","Illustrated book with five screenprints","composition (see child records): dimensions vary; page (each approx.): 17 5/16 × 14 1/8"" (44 × 35.8 cm)","Gift of Richard Miller","128.1964.1-5","Illustrated Book","Prints & Illustrated Books","1964-02-11","Y","11411","http://www.moma.org/collection/works/11411","http://www.moma.org/media/W1siZiIsIjE5MjExMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fcbca54c11f067c0",NA,NA,NA,44,NA,NA,35.8,NA,"","American",38,0,44
"10334","10333","Title page from Salute","Grace Hartigan","2520","American, 1922–2008","American",1922,"2008.0","Female","1960.0","Screenprint from an illustrated book with five screenprints","composition (irreg.): 11 5/8 × 13 7/8"" (29.6 × 35.3 cm); page: 17 5/16 × 14 1/8"" (44 × 35.8 cm)","Gift of Richard Miller","128.1964.2","Illustrated Book","Prints & Illustrated Books","1964-02-11","Y","11412","http://www.moma.org/collection/works/11412","http://www.moma.org/media/W1siZiIsIjE4OTY0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cbfda7bfd28871c6",NA,NA,NA,29.6,NA,NA,35.3,NA,"","American",38,0,44
